"values","lat","long","date"
1.4,47.692621,-122.314398,2018-05-31
0.34,47.692621,-122.314398,2018-06-30
0.51,47.692621,-122.314398,2018-07-31
0.26,47.692621,-122.314398,2018-08-31
0.91,47.692621,-122.314398,2018-09-30
5.23,47.692621,-122.314398,2018-10-31
5.15,47.692621,-122.314398,2018-11-30
2.69,47.692621,-122.314398,2018-12-31
5.88,47.692621,-122.314398,2018-01-31
1.95,47.692621,-122.314398,2018-03-31
0.76,47.692621,-122.314398,2018-04-30
2.21,47.692621,-122.314398,2018-05-31
0.73,47.692621,-122.314398,2018-06-30
0.32,47.692621,-122.314398,2018-07-31
2.2,47.692621,-122.314398,2018-08-31
1.83,47.692621,-122.314398,2018-09-30
2.36,47.692621,-122.314398,2018-10-31
2.78,47.692621,-122.314398,2018-11-30
4.76,47.692621,-122.314398,2018-12-31
2.8,47.692621,-122.314398,2018-01-31
0.95,47.692621,-122.314398,2018-02-28
2.39,47.692621,-122.314398,2018-03-31
2.56,47.692621,-122.314398,2018-04-30
2.45,47.692621,-122.314398,2018-05-31
1.79,47.692621,-122.314398,2018-06-30
0.7,47.692621,-122.314398,2018-07-31
0.27,47.692621,-122.314398,2018-08-31
1.21,47.692621,-122.314398,2018-09-30
2.42,47.692621,-122.314398,2018-10-31
4.29,47.692621,-122.314398,2018-11-30
6.31,47.692621,-122.314398,2018-12-31
8.84,47.692621,-122.314398,2018-01-31
3.21,47.692621,-122.314398,2018-02-28
1.18,47.692621,-122.314398,2018-03-31
2.14,47.692621,-122.314398,2018-04-30
1.38,47.692621,-122.314398,2018-05-31
1.29,47.692621,-122.314398,2018-06-30
0.04,47.692621,-122.314398,2018-07-31
0.15,47.692621,-122.314398,2018-08-31
1.38,47.692621,-122.314398,2018-09-30
0.93,47.692621,-122.314398,2018-10-31
12.26,47.692621,-122.314398,2018-11-30
7.29,47.692621,-122.314398,2018-12-31
2.53,47.692621,-122.314398,2018-01-31
1.77,47.692621,-122.314398,2018-02-28
2.79,47.692621,-122.314398,2018-03-31
1.38,47.692621,-122.314398,2018-04-30
0.14,47.692621,-122.314398,2018-05-31
0.15,47.692621,-122.314398,2018-06-30
1.61,47.692621,-122.314398,2018-07-31
1.11,47.692621,-122.314398,2018-08-31
2.34,47.692621,-122.314398,2018-09-30
2.95,47.692621,-122.314398,2018-10-31
2.98,47.692621,-122.314398,2018-11-30
10.03,47.692621,-122.314398,2018-12-31
4.23,47.692621,-122.314398,2018-01-31
3.62,47.692621,-122.314398,2018-03-31
2.76,47.692621,-122.314398,2018-04-30
0.76,47.692621,-122.314398,2018-05-31
2.21,47.692621,-122.314398,2018-06-30
0.37,47.692621,-122.314398,2018-07-31
3.4,47.692621,-122.314398,2018-08-31
0.76,47.692621,-122.314398,2018-09-30
2.3,47.692621,-122.314398,2018-10-31
5.02,47.692621,-122.314398,2018-11-30
4.77,47.692621,-122.314398,2018-12-31
3.76,47.692621,-122.314398,2018-01-31
2.11,47.692621,-122.314398,2018-02-28
4.45,47.692621,-122.314398,2018-03-31
3.08,47.692621,-122.314398,2018-04-30
3.7,47.692621,-122.314398,2018-05-31
0.24,47.692621,-122.314398,2018-06-30
0.15,47.692621,-122.314398,2018-07-31
0.83,47.692621,-122.314398,2018-08-31
2.44,47.692621,-122.314398,2018-09-30
6.06,47.692621,-122.314398,2018-10-31
9.56,47.692621,-122.314398,2018-11-30
2.59,47.692621,-122.314398,2018-12-31
7.21,47.692621,-122.314398,2018-01-31
3.17,47.692621,-122.314398,2018-02-28
3.07,47.692621,-122.314398,2018-03-31
3.02,47.692621,-122.314398,2018-04-30
3.66,47.692621,-122.314398,2018-05-31
2.42,47.692621,-122.314398,2018-06-30
0.14,47.692621,-122.314398,2018-07-31
0.73,47.692621,-122.314398,2018-08-31
4.02,47.692621,-122.314398,2018-09-30
3.76,47.692621,-122.314398,2018-10-31
4.97,47.692621,-122.314398,2018-11-30
8.02,47.692621,-122.314398,2018-12-31
4.9,47.692621,-122.314398,2018-01-31
3.33,47.692621,-122.314398,2018-02-28
6.63,47.692621,-122.314398,2018-03-31
3.24,47.692621,-122.314398,2018-04-30
3.01,47.692621,-122.314398,2018-05-31
1.24,47.692621,-122.314398,2018-06-30
0.65,47.692621,-122.314398,2018-07-31
0.09,47.692621,-122.314398,2018-08-31
1.02,47.692621,-122.314398,2018-09-30
3.27,47.692621,-122.314398,2018-10-31
6.68,47.692621,-122.314398,2018-11-30
1.69,47.692621,-122.314398,2018-12-31
5.26,47.692621,-122.314398,2018-01-31
5.93,47.692621,-122.314398,2018-03-31
2.2,47.692621,-122.314398,2018-04-30
2.1,47.692621,-122.314398,2018-05-31
